class,compound,bottle,replicate,value,average
Acids,3-methylbutanoic_acid,El Jimador Anejo,1,0.1174239342357985,0.094
Acids,3-methylbutanoic_acid,El Jimador Anejo,2,0.060880197201293555,0.094
Acids,3-methylbutanoic_acid,El Jimador Anejo,3,0.1164480709171988,0.094
Acids,3-methylbutanoic_acid,El Jimador Anejo,4,0.1440353450910358,0.094
Acids,3-methylbutanoic_acid,El Jimador Anejo,5,0.12841774221605645,0.094
Acids,3-methylbutanoic_acid,Cabo Wabo Blanco,1,0.10925807679077701,0.111
Acids,3-methylbutanoic_acid,Cabo Wabo Blanco,2,0.1106892598927328,0.111
Acids,3-methylbutanoic_acid,Cabo Wabo Blanco,3,0.11087473848106837,0.111
Acids,3-methylbutanoic_acid,Cabo Wabo Blanco,4,0.11046578660527233,0.111
Acids,3-methylbutanoic_acid,Cabo Wabo Blanco,5,0.11314823233930485,0.111
Acids,3-methylbutanoic_acid,Don Julio Blanco,1,0.15497880400201774,0.101
Acids,3-methylbutanoic_acid,Don Julio Blanco,2,0.14001554351781137,0.101
Acids,3-methylbutanoic_acid,Don Julio Blanco,3,0.05077882495107685,0.101
Acids,3-methylbutanoic_acid,Don Julio Blanco,4,0.12237229723954093,0.101
Acids,3-methylbutanoic_acid,Don Julio Blanco,5,0.13281050482358014,0.101
Acids,3-methylbutanoic_acid,Espolon Blanco,1,0.15880418330105245,0.149
Acids,3-methylbutanoic_acid,Espolon Blanco,2,0.13997202541275824,0.149
Acids,3-methylbutanoic_acid,Espolon Blanco,3,0.15043235033919858,0.149
Acids,3-methylbutanoic_acid,Espolon Blanco,4,0.13629614964311615,0.149
Acids,3-methylbutanoic_acid,Espolon Blanco,5,0.17016102292586474,0.149
Acids,3-methylbutanoic_acid,Patron Silver,1,0.15699131279706607,0.159
Acids,3-methylbutanoic_acid,Patron Silver,2,0.16373410222117082,0.159
Acids,3-methylbutanoic_acid,Patron Silver,3,0.13591188961559805,0.159
Acids,3-methylbutanoic_acid,Patron Silver,4,0.13332496385419343,0.159
Acids,3-methylbutanoic_acid,Patron Silver,5,0.1585162449846673,0.159
Acids,3-methylbutanoic_acid,Casa Noble Crystal,1,0.18542918219966495,0.167
Acids,3-methylbutanoic_acid,Casa Noble Crystal,2,0.1441748889746446,0.167
Acids,3-methylbutanoic_acid,Casa Noble Crystal,3,0.15228471759535014,0.167
Acids,3-methylbutanoic_acid,Casa Noble Crystal,4,0.1774896321687086,0.167
Acids,3-methylbutanoic_acid,Casa Noble Crystal,5,0.1308919526681196,0.167
Acids,3-methylbutanoic_acid,Tres Generaciones Plata,1,0.16615156806534043,0.165
Acids,3-methylbutanoic_acid,Tres Generaciones Plata,2,0.1696832405814373,0.165
Acids,3-methylbutanoic_acid,Tres Generaciones Plata,3,0.16461837474985144,0.165
Acids,3-methylbutanoic_acid,Tres Generaciones Plata,4,0.161353404404433,0.165
Acids,3-methylbutanoic_acid,Tres Generaciones Plata,5,0.1766903594304719,0.165
Acids,3-methylbutanoic_acid,1800 Anejo,1,0.24093184801319903,0.212
Acids,3-methylbutanoic_acid,1800 Anejo,2,0.21709505950781752,0.212
Acids,3-methylbutanoic_acid,1800 Anejo,3,0.2331216645001571,0.212
Acids,3-methylbutanoic_acid,1800 Anejo,4,0.21077139301523967,0.212
Acids,3-methylbutanoic_acid,1800 Anejo,5,0.21602239414389432,0.212
Acids,3-methylbutanoic_acid,Jose Cuervo Especial,1,0.13166134899430892,0.158
Acids,3-methylbutanoic_acid,Jose Cuervo Especial,2,0.05815235459005254,0.158
Acids,3-methylbutanoic_acid,Jose Cuervo Especial,3,0.134022692883981,0.158
Acids,3-methylbutanoic_acid,Jose Cuervo Especial,4,0.2504482231964196,0.158
Acids,3-methylbutanoic_acid,Jose Cuervo Especial,5,0.15557440389507612,0.158
Acids,3-methylbutanoic_acid,Herradura Reposado,1,0.11700750526644596,0.112
Acids,3-methylbutanoic_acid,Herradura Reposado,2,0.10696517657918728,0.112
Acids,3-methylbutanoic_acid,Herradura Reposado,3,0.12203981257150928,0.112
Acids,3-methylbutanoic_acid,Herradura Reposado,4,0.11348857727642382,0.112
Acids,3-methylbutanoic_acid,Herradura Reposado,5,0.12188764500859696,0.112
Acids,3-methylbutanoic_acid,Milagro Select Barrel Reserve Reposado,1,0.11493024950322943,0.111
Acids,3-methylbutanoic_acid,Milagro Select Barrel Reserve Reposado,2,0.11852794379960473,0.111
Acids,3-methylbutanoic_acid,Milagro Select Barrel Reserve Reposado,3,0.10996321359492808,0.111
Acids,3-methylbutanoic_acid,Milagro Select Barrel Reserve Reposado,4,0.10962313904314938,0.111
Acids,3-methylbutanoic_acid,Milagro Select Barrel Reserve Reposado,5,0.099888413682471755,0.111
Acids,3-methylbutanoic_acid,Siete Leguas Reposado,1,0.11898709203577236,0.111
Acids,3-methylbutanoic_acid,Siete Leguas Reposado,2,0.11209302906670883,0.111
Acids,3-methylbutanoic_acid,Siete Leguas Reposado,3,0.11386522655302707,0.111
Acids,3-methylbutanoic_acid,Siete Leguas Reposado,4,0.12051987092946836,0.111
Acids,3-methylbutanoic_acid,Siete Leguas Reposado,5,0.1102450217655476,0.111
Acids,3-methylbutanoic_acid,Clase Azul Reposado,1,0.08166959337516663,0.105
Acids,3-methylbutanoic_acid,Clase Azul Reposado,2,0.0736632296254216,0.105
Acids,3-methylbutanoic_acid,Clase Azul Reposado,3,0.10580157810040726,0.105
Acids,3-methylbutanoic_acid,Clase Azul Reposado,4,0.15980514587847178,0.105
Acids,3-methylbutanoic_acid,Clase Azul Reposado,5,0.0686805952162294,0.105
Acids,3-methylbutanoic_acid,Corralejo Reposado,1,0.11300826128538613,0.103
Acids,3-methylbutanoic_acid,Corralejo Reposado,2,0.10347287283035864,0.103
Acids,3-methylbutanoic_acid,Corralejo Reposado,3,0.1810231214985922,0.103
Acids,3-methylbutanoic_acid,Corralejo Reposado,4,0.05650454137256592,0.103
Acids,3-methylbutanoic_acid,Corralejo Reposado,5,0.04732580423620474,0.103
Acids,3-methylbutanoic_acid,Avion Silver Reposado,1,0.10792225232571759,0.111
Acids,3-methylbutanoic_acid,Avion Silver Reposado,2,0.1159010418219386,0.111
Acids,3-methylbutanoic_acid,Avion Silver Reposado,3,0.11029741849874185,0.111
Acids,3-methylbutanoic_acid,Avion Silver Reposado,4,0.11032347578931816,0.111
Acids,3-methylbutanoic_acid,Avion Silver Reposado,5,0.11336400744289603,0.111
Acids,Decanoic_acid,Cazadores Anejo,1,4.091083124503115,2.702
Acids,Decanoic_acid,Cazadores Anejo,2,2.4679491966417886,2.702
Acids,Decanoic_acid,Cazadores Anejo,3,1.3801414184852587,2.702
Acids,Decanoic_acid,Cazadores Anejo,4,2.966904445923449,2.702
Acids,Decanoic_acid,Cazadores Anejo,5,3.414393352468233,2.702
Acids,Decanoic_acid,El Jimador Anejo,1,3.391573812284879,3.283
Acids,Decanoic_acid,El Jimador Anejo,2,3.490378810905445,3.283
Acids,Decanoic_acid,El Jimador Anejo,3,3.671266722922779,3.283
Acids,Decanoic_acid,El Jimador Anejo,4,3.5144117204088006,3.283
Acids,Decanoic_acid,El Jimador Anejo,5,2.9328059936581985,3.283
Acids,Decanoic_acid,Cabo Wabo Blanco,1,2.708519146997457,2.658
Acids,Decanoic_acid,Cabo Wabo Blanco,2,2.6532408413617468,2.658
Acids,Decanoic_acid,Cabo Wabo Blanco,3,2.59470686649848,2.658
Acids,Decanoic_acid,Cabo Wabo Blanco,4,2.6567642509106304,2.658
Acids,Decanoic_acid,Cabo Wabo Blanco,5,2.5510765596582234,2.658
Acids,Decanoic_acid,Don Julio Blanco,1,3.7662498506075677,2.035
Acids,Decanoic_acid,Don Julio Blanco,2,4.803656845813441,2.035
Acids,Decanoic_acid,Don Julio Blanco,3,3.241676876968442,2.035
Acids,Decanoic_acid,Don Julio Blanco,4,2.9124341147227812,2.035
Acids,Decanoic_acid,Don Julio Blanco,5,2.6461684735705395,2.035
Acids,Decanoic_acid,Espolon Blanco,1,2.5767877061031585,2.437
Acids,Decanoic_acid,Espolon Blanco,2,2.6761269281719304,2.437
Acids,Decanoic_acid,Espolon Blanco,3,2.5033087618206693,2.437
Acids,Decanoic_acid,Espolon Blanco,4,2.416514414191658,2.437
Acids,Decanoic_acid,Espolon Blanco,5,2.628221168059554,2.437
Acids,Decanoic_acid,Patron Silver,1,2.294516880498699,2.206
Acids,Decanoic_acid,Patron Silver,2,2.360116823936764,2.206
Acids,Decanoic_acid,Patron Silver,3,2.187250430002233,2.206
Acids,Decanoic_acid,Patron Silver,4,1.9526693520445786,2.206
Acids,Decanoic_acid,Patron Silver,5,1.9025766196064895,2.206
Acids,Decanoic_acid,Casa Noble Crystal,1,2.4474358599321464,2.424
Acids,Decanoic_acid,Casa Noble Crystal,2,2.4700140988236385,2.424
Acids,Decanoic_acid,Casa Noble Crystal,3,2.423399987573108,2.424
Acids,Decanoic_acid,Casa Noble Crystal,4,2.4633828985784416,2.424
Acids,Decanoic_acid,Casa Noble Crystal,5,2.4925967211050835,2.424
Acids,Decanoic_acid,Tres Generaciones Plata,1,2.8754712768099067,2.618
Acids,Decanoic_acid,Tres Generaciones Plata,2,2.5336186379964247,2.618
Acids,Decanoic_acid,Tres Generaciones Plata,3,2.395176956914472,2.618
Acids,Decanoic_acid,Tres Generaciones Plata,4,2.654559160019452,2.618
Acids,Decanoic_acid,Tres Generaciones Plata,5,2.745622642025011,2.618
Acids,Decanoic_acid,1800 Anejo,1,2.791520838289252,2.423
Acids,Decanoic_acid,1800 Anejo,2,2.4863420426710254,2.423
Acids,Decanoic_acid,1800 Anejo,3,2.444739636977407,2.423
Acids,Decanoic_acid,1800 Anejo,4,2.1742411610569414,2.423
Acids,Decanoic_acid,1800 Anejo,5,2.630528209821813,2.423
Acids,Decanoic_acid,Jose Cuervo Especial,1,2.652480127790218,2.585
Acids,Decanoic_acid,Jose Cuervo Especial,2,3.5096820697144797,2.585
Acids,Decanoic_acid,Jose Cuervo Especial,3,2.6512388054223894,2.585
Acids,Decanoic_acid,Jose Cuervo Especial,4,3.0008528337528855,2.585
Acids,Decanoic_acid,Jose Cuervo Especial,5,2.708386528602549,2.585
Acids,Decanoic_acid,Herradura Reposado,1,0.9385400352272825,0.937
Acids,Decanoic_acid,Herradura Reposado,2,0.8541058857076819,0.937
Acids,Decanoic_acid,Herradura Reposado,3,0.705448727273062,0.937
Acids,Decanoic_acid,Herradura Reposado,4,0.915291221410222,0.937
Acids,Decanoic_acid,Herradura Reposado,5,1.1201547627054531,0.937
Acids,Decanoic_acid,Milagro Select Barrel Reserve Reposado,1,1.5393611840227368,1.213
Acids,Decanoic_acid,Milagro Select Barrel Reserve Reposado,2,1.0812390537874168,1.213
Acids,Decanoic_acid,Milagro Select Barrel Reserve Reposado,3,1.2245240298476936,1.213
Acids,Decanoic_acid,Milagro Select Barrel Reserve Reposado,4,1.3329995151449652,1.213
Acids,Decanoic_acid,Milagro Select Barrel Reserve Reposado,5,1.3502634280460288,1.213
Acids,Decanoic_acid,Siete Leguas Reposado,1,0.9994359751861593,1.05
Acids,Decanoic_acid,Siete Leguas Reposado,2,1.1098048055454868,1.05
Acids,Decanoic_acid,Siete Leguas Reposado,3,0.9918101979129519,1.05
Acids,Decanoic_acid,Siete Leguas Reposado,4,0.8751718790287262,1.05
Acids,Decanoic_acid,Siete Leguas Reposado,5,1.0035248665255505,1.05
Acids,Decanoic_acid,Clase Azul Reposado,1,0.6833638612086824,1.112
Acids,Decanoic_acid,Clase Azul Reposado,2,1.3934091488815143,1.112
Acids,Decanoic_acid,Clase Azul Reposado,3,0.9883275402148463,1.112
Acids,Decanoic_acid,Clase Azul Reposado,4,1.089221399849457,1.112
Acids,Decanoic_acid,Clase Azul Reposado,5,0.44849158590464844,1.112
Acids,Decanoic_acid,Corralejo Reposado,1,1.0080297403840501,1.005
Acids,Decanoic_acid,Corralejo Reposado,2,0.6793320518105765,1.005
Acids,Decanoic_acid,Corralejo Reposado,3,1.0598103799931349,1.005
Acids,Decanoic_acid,Corralejo Reposado,4,1.3019730431937473,1.005
Acids,Decanoic_acid,Corralejo Reposado,5,1.3005451796451433,1.005
Acids,Decanoic_acid,Avion Silver Reposado,1,0.9002168225270225,1.028
Acids,Decanoic_acid,Avion Silver Reposado,2,0.9966517806302895,1.028
Acids,Decanoic_acid,Avion Silver Reposado,3,0.9189639310470893,1.028
Acids,Decanoic_acid,Avion Silver Reposado,4,0.8887063272199485,1.028
Acids,Decanoic_acid,Avion Silver Reposado,5,0.9901834148010198,1.028
Acids,Dodecanoic_acid,Cazadores Anejo,1,1.0721780469315212,0.841
Acids,Dodecanoic_acid,Cazadores Anejo,2,1.2264747307770367,0.841
Acids,Dodecanoic_acid,Cazadores Anejo,3,0.8307137170981534,0.841
Acids,Dodecanoic_acid,Cazadores Anejo,4,0.8263834202898375,0.841
Acids,Dodecanoic_acid,Cazadores Anejo,5,1.0948531374004342,0.841
Acids,Dodecanoic_acid,El Jimador Anejo,1,0.8990809990294202,1.427
Acids,Dodecanoic_acid,El Jimador Anejo,2,2.599088365176779,1.427
Acids,Dodecanoic_acid,El Jimador Anejo,3,1.474525943080125,1.427
Acids,Dodecanoic_acid,El Jimador Anejo,4,0.7573509905610587,1.427
Acids,Dodecanoic_acid,El Jimador Anejo,5,1.8860602828927704,1.427
Acids,Dodecanoic_acid,Cabo Wabo Blanco,1,0.5275909095932413,0.527
Acids,Dodecanoic_acid,Cabo Wabo Blanco,2,0.5332946334522253,0.527
Acids,Dodecanoic_acid,Cabo Wabo Blanco,3,0.5346710271552965,0.527
Acids,Dodecanoic_acid,Cabo Wabo Blanco,4,0.5210790613820748,0.527
Acids,Dodecanoic_acid,Cabo Wabo Blanco,5,0.524802291184019,0.527
Acids,Dodecanoic_acid,Don Julio Blanco,1,0.5205217952734728,0.513
Acids,Dodecanoic_acid,Don Julio Blanco,2,0.4509785838542582,0.513
Acids,Dodecanoic_acid,Don Julio Blanco,3,0.4841393006224248,0.513
Acids,Dodecanoic_acid,Don Julio Blanco,4,0.5699843468062338,0.513
Acids,Dodecanoic_acid,Don Julio Blanco,5,0.4749137649383326,0.513
Acids,Dodecanoic_acid,Espolon Blanco,1,0.4810145903770686,0.534
Acids,Dodecanoic_acid,Espolon Blanco,2,0.6979214127443336,0.534
Acids,Dodecanoic_acid,Espolon Blanco,3,0.5759754317692395,0.534
Acids,Dodecanoic_acid,Espolon Blanco,4,0.42060592404411723,0.534
Acids,Dodecanoic_acid,Espolon Blanco,5,0.5100656578725927,0.534
Acids,Dodecanoic_acid,Patron Silver,1,0.5248775106127374,0.364
Acids,Dodecanoic_acid,Patron Silver,2,0.20332620549780933,0.364
Acids,Dodecanoic_acid,Patron Silver,3,0.450811123509713,0.364
Acids,Dodecanoic_acid,Patron Silver,4,0.3320830869387954,0.364
Acids,Dodecanoic_acid,Patron Silver,5,0.5993472243545837,0.364
Acids,Dodecanoic_acid,Casa Noble Crystal,1,0.5254739964677715,0.518
Acids,Dodecanoic_acid,Casa Noble Crystal,2,0.4998584769262173,0.518
Acids,Dodecanoic_acid,Casa Noble Crystal,3,0.5149733775873617,0.518
Acids,Dodecanoic_acid,Casa Noble Crystal,4,0.5295991697596215,0.518
Acids,Dodecanoic_acid,Casa Noble Crystal,5,0.5195240857531764,0.518
Acids,Dodecanoic_acid,Tres Generaciones Plata,1,0.667128312693605,0.583
Acids,Dodecanoic_acid,Tres Generaciones Plata,2,0.5778804832573619,0.583
Acids,Dodecanoic_acid,Tres Generaciones Plata,3,0.5743827545633533,0.583
Acids,Dodecanoic_acid,Tres Generaciones Plata,4,0.5274821246994955,0.583
Acids,Dodecanoic_acid,Tres Generaciones Plata,5,0.5381662154010367,0.583
Acids,Dodecanoic_acid,1800 Anejo,1,0.3541901339108642,0.21
Acids,Dodecanoic_acid,1800 Anejo,2,0.3578358395850313,0.21
Acids,Dodecanoic_acid,1800 Anejo,3,0.41400697505770767,0.21
Acids,Dodecanoic_acid,1800 Anejo,4,0.3023807611920736,0.21
Acids,Dodecanoic_acid,1800 Anejo,5,0.5761717562107309,0.21
Acids,Dodecanoic_acid,Jose Cuervo Especial,1,0.17744825117030538,0.207
Acids,Dodecanoic_acid,Jose Cuervo Especial,2,0.23566996298060805,0.207
Acids,Dodecanoic_acid,Jose Cuervo Especial,3,0.1612943976398908,0.207
Acids,Dodecanoic_acid,Jose Cuervo Especial,4,0.3736572913239743,0.207
Acids,Dodecanoic_acid,Jose Cuervo Especial,5,0.5944814556528715,0.207
Acids,Dodecanoic_acid,Herradura Reposado,1,0.12800555167934402,0.152
Acids,Dodecanoic_acid,Herradura Reposado,2,0.17725707250215947,0.152
Acids,Dodecanoic_acid,Herradura Reposado,3,0.1547754848584907,0.152
Acids,Dodecanoic_acid,Herradura Reposado,4,0.1753768304581403,0.152
Acids,Dodecanoic_acid,Herradura Reposado,5,0.14435465385281043,0.152
Acids,Dodecanoic_acid,Milagro Select Barrel Reserve Reposado,1,0.12914480204644183,0.258
Acids,Dodecanoic_acid,Milagro Select Barrel Reserve Reposado,2,0.2715811676985544,0.258
Acids,Dodecanoic_acid,Milagro Select Barrel Reserve Reposado,3,0.15647265514955233,0.258
Acids,Dodecanoic_acid,Milagro Select Barrel Reserve Reposado,4,0.18686225862179304,0.258
Acids,Dodecanoic_acid,Milagro Select Barrel Reserve Reposado,5,0.20197146925245638,0.258
Acids,Dodecanoic_acid,Siete Leguas Reposado,1,0.07413789498596195,0.168
Acids,Dodecanoic_acid,Siete Leguas Reposado,2,0.2564021818356705,0.168
Acids,Dodecanoic_acid,Siete Leguas Reposado,3,0.12981307080776627,0.168
Acids,Dodecanoic_acid,Siete Leguas Reposado,4,0.07499962378350822,0.168
Acids,Dodecanoic_acid,Siete Leguas Reposado,5,0.3389068129262467,0.168
Acids,Dodecanoic_acid,Clase Azul Reposado,1,0.05238840767219821,0.196
Acids,Dodecanoic_acid,Clase Azul Reposado,2,0.2899770070471755,0.196
Acids,Dodecanoic_acid,Clase Azul Reposado,3,0.5494399122559857,0.196
Acids,Dodecanoic_acid,Clase Azul Reposado,4,0.13870918374776037,0.196
Acids,Dodecanoic_acid,Clase Azul Reposado,5,0.4332742696856141,0.196
Acids,Dodecanoic_acid,Corralejo Reposado,1,0.23117869781099726,0.191
Acids,Dodecanoic_acid,Corralejo Reposado,2,0.14446792555596397,0.191
Acids,Dodecanoic_acid,Corralejo Reposado,3,0.31671131885578474,0.191
Acids,Dodecanoic_acid,Corralejo Reposado,4,0.10733576275918566,0.191
Acids,Dodecanoic_acid,Corralejo Reposado,5,0.19443584570606948,0.191
Acids,Dodecanoic_acid,Avion Silver Reposado,1,0.21011233337682608,0.192
Acids,Dodecanoic_acid,Avion Silver Reposado,2,0.16274043136055072,0.192
Acids,Dodecanoic_acid,Avion Silver Reposado,3,0.19181410312777533,0.192
Acids,Dodecanoic_acid,Avion Silver Reposado,4,0.17103547515650983,0.192
Acids,Dodecanoic_acid,Avion Silver Reposado,5,0.22452175707259478,0.192
Acids,Ethanoic_acid,Cazadores Anejo,1,0.2604241895303254,0.186
Acids,Ethanoic_acid,Cazadores Anejo,2,0.13643299572881043,0.186
Acids,Ethanoic_acid,Cazadores Anejo,3,0.01612655620489592,0.186
Acids,Ethanoic_acid,Cazadores Anejo,4,0.3225036388138932,0.186
Acids,Ethanoic_acid,Cazadores Anejo,5,0.256164948134039,0.186
Acids,Ethanoic_acid,El Jimador Anejo,1,0.40134782935891944,0.377
Acids,Ethanoic_acid,El Jimador Anejo,2,0.4613431068392765,0.377
Acids,Ethanoic_acid,El Jimador Anejo,3,0.308734952407544,0.377
Acids,Ethanoic_acid,El Jimador Anejo,4,0.3819042763135626,0.377
Acids,Ethanoic_acid,El Jimador Anejo,5,0.34198814491617946,0.377
Acids,Ethanoic_acid,Cabo Wabo Blanco,1,0.7563369427989657,0.768
Acids,Ethanoic_acid,Cabo Wabo Blanco,2,0.7515290241672148,0.768
Acids,Ethanoic_acid,Cabo Wabo Blanco,3,0.7651250473890843,0.768
Acids,Ethanoic_acid,Cabo Wabo Blanco,4,0.7692822183611844,0.768
Acids,Ethanoic_acid,Cabo Wabo Blanco,5,0.7737252774617052,0.768
