ID_number,Protein_name,Protein_function
SSG1_ORYSJ,Granule-bound starch synthase 1; chloroplastic/amyloplastic (EC 2.4.1.242) (Granule-bound starch synthase I) (GBSS-I) (allergen Ory s GBSS_I),FUNCTION: Required for the synthesis of amylose in endosperm.
HD5_ORYSJ,Nuclear transcription factor Y subunit B-11 (OsNF-YB11) (Protein DAYS TO HEADING 8) (Protein HEADING DATE 5) (Transcriptional activator HAP3H) (OsHAP3H),FUNCTION: Probable transcription factor involved in the regulation of flowering time under long day (LD) conditions. Functions as a repressor of flowering; independently of HD1 and GHD7. Controls flowering time by negatively regulating the expression of EHD1 and HD3A (PubMed:20566706; PubMed:21148627). Regulates plant height by promoting cell elongation in the internodes (PubMed:20566706). Component of the NF-Y/HAP transcription factor complex (By similarity). {ECO:0000250; ECO:0000269|PubMed:20566706; ECO:0000269|PubMed:21148627}.
G3PC1_ORYSJ,Glyceraldehyde-3-phosphate dehydrogenase 1; cytosolic (EC 1.2.1.12) (PP38),FUNCTION: Key enzyme in glycolysis that catalyzes the first step of the pathway by converting D-glyceraldehyde 3-phosphate (G3P) into 3-phospho-D-glyceroyl phosphate. Essential for the maintenance of cellular ATP levels and carbohydrate metabolism (By similarity). {ECO:0000250}.
FLS2_ORYSJ,LRR receptor-like serine/threonine-protein kinase FLS2 (EC 2.7.11.1) (Protein FLAGELLIN-SENSING 2 homolog) (OsFLS2) (Protein FLAGELLIN-SENSITIVE 2 homolog),FUNCTION: Constitutes the pattern-recognition receptor (PPR) that determines the specific perception of flagellin (flg22); a potent elicitor of the defense response to pathogen-associated molecular patterns (PAMPs). Recognizes flg22 from Pseudomonas aeruginosa and Acidovorax avenae. flg22 is a peptide derived from the bacterial flagellin N-terminus sequence (PubMed:18986259; PubMed:25617720). Does not recognize flg22 from Xanthomonas oryzae pv. oryzae (Xoo) or Xanthomonas oryzae pv. oryzicola (Xoc) (PubMed:25617720). {ECO:0000269|PubMed:18986259; ECO:0000269|PubMed:25617720}.
CPS4_ORYSJ,Syn-copalyl diphosphate synthase; chloroplastic (OsCPSsyn) (Syn-CPP synthase) (EC 5.5.1.14) (OsCPS4) (OsCyc1),FUNCTION: Catalyzes the conversion of geranylgeranyl diphosphate to the phytoalexin precursor syn-copalyl diphosphate (PubMed:15255861; PubMed:15341631; PubMed:23621683). Required for the biosynthesis of momilactones that exude from roots and act as allelochemicals against lowland weeds in paddy soil (PubMed:23621683). {ECO:0000269|PubMed:15255861; ECO:0000269|PubMed:15341631; ECO:0000269|PubMed:23621683}.
P2C06_ORYSJ,Probable protein phosphatase 2C 6 (OsPP2C06) (EC 3.1.3.16) (ABI1-like protein 1) (OsABI-LIKE1) (OsABIL1),FUNCTION: Probable protein phosphatase that may function in abscisic acid (ABA) signaling. {ECO:0000250|UniProtKB:Q6L4R7}.
D14_ORYSJ,Strigolactone esterase D14 (EC 3.1.-.-) (Protein DWARF 14) (Protein DWARF 88) (Protein HIGH-TILLERING DWARF 2),FUNCTION: Involved in strigolactone (SL) signaling pathway. May function downstream of SL synthesis; as a component of hormone signaling or as an enzyme that participates in the conversion of SL to the bioactive form. Strigolactones are hormones that inhibit tillering and shoot branching through the MAX-dependent pathway; contribute to the regulation of shoot architectural response to phosphate-limiting conditions and function as rhizosphere signal that stimulates hyphal branching of arbuscular mycorrhizal fungi and trigger seed germination of root parasitic weeds (PubMed:19542179; PubMed:19579033; PubMed:23301669). Strigolactone-dependent association of D14 with D3 and D53 (a repressor of SL signaling) triggers D53 ubiquitination and degradation (PubMed:24336200; PubMed:24616269). Hydrolyzes the butenolide ring of SLs (PubMed:23381136; PubMed:24131983). A reaction product D-OH is trapped in the cavity of D14; inducing the interaction with SLR1; and probably with other proteins such as D3 and D53 (PubMed:24131983). Contributes to the negative regulation of gibberellin signaling (PubMed:24131983). {ECO:0000269|PubMed:19542179; ECO:0000269|PubMed:19579033; ECO:0000269|PubMed:23301669; ECO:0000269|PubMed:23381136; ECO:0000269|PubMed:24131983; ECO:0000269|PubMed:24336200; ECO:0000269|PubMed:24616269}.
PIOX_ORYSJ,Alpha-dioxygenase PIOX (EC 1.13.11.92) (Pathogen-induced oxygenase),FUNCTION: Alpha-dioxygenase that catalyzes the primary oxygenation step of a variety of 14-20 carbon fatty acids; containing up to three unsaturated bonds; into their corresponding 2R-hydroperoxides (PubMed:11909851; PubMed:18596034). Involved in the production of oxylipins that function in cell signaling; wound healing; and protection from infection (PubMed:11909851; PubMed:18596034). {ECO:0000269|PubMed:11909851; ECO:0000269|PubMed:18596034}.
HGLS_ORYSJ,2-oxoadipate dioxygenase/decarboxylase; chloroplastic/amyloplastic (EC 1.13.11.93) (2-hydroxyglutarate synthase) (Protein FLOURY ENDOSPERM 7),FUNCTION: Catalyzes the decarboxylation and hydroxylation of 2-oxoadipate (2OA) to form D-2-hydroxyglutarate (D-2-HGA) (PubMed:32523014). Is involved in a D-lysine catabolic pathway (PubMed:32523014). Involved in the regulation of starch synthesis and amyloplast development within the peripheral endosperm during the grain-filling stage (PubMed:26608643). {ECO:0000269|PubMed:26608643; ECO:0000269|PubMed:32523014}.
JM703_ORYSJ,Lysine-specific demethylase JMJ703 (EC 1.14.11.67) (Jumonji domain-containing protein 703) (Lysine-specific histone demethylase JMJ703) (Protein JUMONJI 703) ([histone H3]-trimethyl-L-lysine(4) demethylase JMJ703),FUNCTION: Histone demethylase that demethylates 'Lys-4' (H3K4me) of histone H3 with a specific activity for H3K4me3; H3K4me2 and H3K4me1. No activity on H3K9me3/2/1; H3K27me3/2/1 and H3K36me3/2/1. Involved in the control of stem elongation by regulating methylation states of H3K4me3 on cytokinin oxidase (CKX) gene family; which may cause increased expression of CKX genes and reduced cytokinin levels. Prevents ectopic retrotransposition by regulating the levels of H3K4me3 in two non-LTR retrotransposons KARMA and LINE-1 (L1) and reinforcing their repressed states. {ECO:0000269|PubMed:23319643; ECO:0000269|PubMed:23357881}.
SNAT1_ORYSJ,Serotonin N-acetyltransferase 1; chloroplastic (OsSNAT1) (EC 2.3.1.87) (Acetyltransferase NSI homolog) (Nuclear shuttle protein-interacting protein homolog),FUNCTION: Catalyzes the N-acetylation of serotonin into N-acetylserotonin; the penultimate step in the synthesis of melatonin (PubMed:22998587; PubMed:24134674; PubMed:27121038; PubMed:28118490). Catalyzes in vitro the N-acetylation of tryptamine to produce N-acetyltryptamine; 5-methoxytryptamine to produce melatonin and tyramine to produce N-acetyltyramine (PubMed:27121038). {ECO:0000269|PubMed:22998587; ECO:0000269|PubMed:24134674; ECO:0000269|PubMed:27121038; ECO:0000269|PubMed:28118490}.
TPR1_ORYSJ,Protein TPR1 (Aberrant spikelet and panicle1-related 2) (Protein ASP1-RELATED 2) (OsASPR2) (Topless-related protein 1) (Topless-related protein 2) (OsTPR2),FUNCTION: Probable downstream regulator of strigolactones signaling. {ECO:0000250|UniProtKB:Q0J7U6}.
MAX2_ORYSJ,F-box/LRR-repeat MAX2 homolog (F-box and leucine-rich repeat MAX2 homolog) (Protein DWARF 3),FUNCTION: Involved in strigolactone (SL) signaling (PubMed:23025475; PubMed:24336215; PubMed:24616269). Required for responses to SLs and the establishment of arbuscular mycorrhiza symbiosis in rice (PubMed:23025475). Strigolactone-dependent association of D3 with D14 and D53 (a repressor of SL signaling) triggers D53 ubiquitination and degradation (PubMed:24616269). Controls tillering by suppressing axillary bud activity (PubMed:15659436). Tiller is a specialized grain-bearing branch that is formed on the unelongated basal internode and grows independently of the mother stem (culm) by means of its own adventitious roots (PubMed:15659436). {ECO:0000269|PubMed:15659436; ECO:0000269|PubMed:23025475; ECO:0000269|PubMed:24336215; ECO:0000269|PubMed:24616269}.
PYL9_ORYSJ,Abscisic acid receptor PYL9 (PYR1-like protein 2) (OsPYL2) (PYR1-like protein 9) (OsPYL9) (Regulatory components of ABA receptor 9),FUNCTION: Involved in abscisic acid (ABA) signaling during seed germination and abiotic stress response. Acts as a positive regulator of ABA-mediated inhibition of seed germination; and tolerance to drought and cold stresses (PubMed:26362328). Inhibits the activity of the protein phosphatases PP2C06 and PP2C09 when activated by abscisic acid (ABA) (PubMed:24743650). {ECO:0000269|PubMed:24743650; ECO:0000269|PubMed:26362328}.
RBOHB_ORYSJ,Respiratory burst oxidase homolog protein B (EC 1.11.1.-) (EC 1.6.3.-) (NADPH oxidase RBOHB) (OsrbohB),FUNCTION: Calcium-dependent NADPH oxidase that generates superoxide. {ECO:0000250}.
MDAR3_ORYSJ,Monodehydroascorbate reductase 3; cytosolic (OsMDAR3) (OsMDHAR3) (EC 1.6.5.4),FUNCTION: Catalyzes the conversion of monodehydroascorbate to ascorbate; oxidizing NADH in the process. Ascorbate is a major antioxidant against reactive oxygen species (ROS) and nitric oxide (NO) (PubMed:24376554; PubMed:27652777). Can use NADPH as electron donor; but possesses lower activity compared to NADH as electron donor (PubMed:27652777). {ECO:0000269|PubMed:24376554; ECO:0000269|PubMed:27652777}.
DHAR1_ORYSJ,Probable glutathione S-transferase DHAR1; cytosolic (EC 2.5.1.18) (GSH-dependent dehydroascorbate reductase 1) (OsDHAR1) (EC 1.8.5.1) (Glutathione-dependent dehydroascorbate reductase 1),FUNCTION: Involved in ascorbate homeostasis. Maintains redox pools of ascorbate by recycling dihydroascorbate (DHA) to ascorbate (Probable). Involved in scavenging reactive oxygen species (ROS) under oxidative stresses. Possesses dehydroascorbate reductase (DHAR) activity in vitro (PubMed:19011360). May function via a ping-pong reaction mechanism with an electron transfer at the active site (PubMed:26775680). Possesses chaperone-like activity in vitro (PubMed:26775680). {ECO:0000269|PubMed:19011360; ECO:0000269|PubMed:26775680; ECO:0000305|PubMed:23519921}.
SPX1_ORYSJ,SPX domain-containing protein 1 (Protein SPX DOMAIN GENE 1) (OsSPX1),FUNCTION: Involved in plant adaptation to phosphate (Pi) starvation (PubMed:19000161). Inhibits PHR2 DNA-binding activity via a Pi-dependent protein interaction (PubMed:25271318). Suppresses the regulation on expression of PT2 by PHR2 and accumulation of shoot Pi (PubMed:20149131). Optimizes growth under phosphate-limited conditions through a negative feedback loop of the PSI (phosphate starvation-induced) signaling pathway (PubMed:19000161; PubMed:20149131). Regulates the expression of SPX2; SPX3 and SPX5 (PubMed:19566645). May be an important link between signal transduction pathways related to phosphate starvation and cold stress (PubMed:19000161). Together with SPX2; plays a negative role in the regulation of leaf inclination by preventing RLI1 transcription factor activity in Pi depleted conditions (PubMed:29610209). {ECO:0000269|PubMed:19000161; ECO:0000269|PubMed:19566645; ECO:0000269|PubMed:20149131; ECO:0000269|PubMed:25271318; ECO:0000269|PubMed:29610209}.
PYL3_ORYSJ,Abscisic acid receptor PYL3 (PYR1-like protein 10) (OsPYL10) (PYR1-like protein 3) (OsPYL3) (Regulatory components of ABA receptor 3),FUNCTION: Involved in abscisic acid (ABA) signaling during seed germination and abiotic stress response. Acts as a positive regulator of ABA-mediated inhibition of seed germination; and tolerance to drought and cold stresses (PubMed:26362328). Together with PP2C50 and SAPK10; may form an ABA signaling module involved in stress response (PubMed:28827170). Inhibits the protein phosphatases PP2C06 and PP2C09 when activated by abscisic acid (ABA) (PubMed:24743650). {ECO:0000269|PubMed:24743650; ECO:0000269|PubMed:26362328; ECO:0000269|PubMed:28827170}.
PHR_ORYSJ,Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (OsCPDII) (Photoreactivating enzyme),FUNCTION: Involved in repair of UV radiation-induced DNA damage. Catalyzes the light-dependent monomerization (300-600 nm) of cyclobutylpyrimidine dimers (CPDs); which are formed between adjacent bases on the same DNA strand upon exposure to ultraviolet radiation. Required for plant survival in the presence of UV-B light. Not involved in the repair of (6-4) photoproducts. {ECO:0000269|PubMed:12764611; ECO:0000269|PubMed:15965242; ECO:0000269|PubMed:17397507; ECO:0000269|PubMed:17895582; ECO:0000269|PubMed:18235036; ECO:0000269|PubMed:20227927}.
HMA4_ORYSJ,Copper-transporting ATPase HMA4 (EC 7.2.2.8) (Protein HEAVY METAL ATPASE 4) (OsHMA4),FUNCTION: Copper (Cu) transporter that mediates Cu transport in root vacuoles. Involved in Cu detoxification by sequestrating Cu into root vacuoles and limiting translocation of Cu from the roots to the shoots; and accumulation in grains. {ECO:0000269|PubMed:27387148}.
PYL5_ORYSJ,Abscisic acid receptor PYL5 (PYR1-like protein 11) (OsPYL11) (PYR1-like protein 5) (OsPYL5) (Regulatory components of ABA receptor 5),FUNCTION: Intracellular abscisic acid (ABA) receptor that functions as a positive regulator of ABA signaling pathway (PubMed:22071266; PubMed:24474809). Together with ABI5; PP2C30 and SAPK2; is part of an ABA signaling unit that modulates seed germination and early seedling growth (PubMed:22071266). Acts as a positive regulator of abiotic stress-responsive gene expression (PubMed:24474809). Inhibits the protein phosphatases PP2C06 and PP2C09 when activated by ABA (PubMed:24743650). {ECO:0000269|PubMed:22071266; ECO:0000269|PubMed:24474809; ECO:0000269|PubMed:24743650}.
CAL1_ORYSJ,Defensin-like protein CAL1 (OsCPT1) (Pathogen-related protein 12) (OsPR12) (Protein CADMIUM ACCUMULATION IN LEAF 1),FUNCTION: Plant defensin-like protein involved in accumulation of cadmium (Cd) in rice leaves. Mediates Cd efflux from cytosol into extracellular spaces via chelation. This drives Cd secretion from xylem parenchyma cells into the xylem vessels; hence lowering Cd levels in cytosol meanwhile promoting Cd translocation from roots to shoots. {ECO:0000269|PubMed:29440679}.
GID1_ORYSJ,Gibberellin receptor GID1 (EC 3.-.-.-) (Gibberellin-insensitive dwarf protein 1) (Protein GIBBERELLIN INSENSITIVE DWARF1),FUNCTION: Functions as a soluble gibberellin (GA) receptor. GA is an essential hormone that regulates growth and development in plants. Binds with high affinity the biologically active GAs such as GA1; GA3 and GA4; but has low or no affinity for the biologically inactive GAs. Upon GA-binding; it interacts with the DELLA protein SLR1; a repressor of GA signaling. This leads to SLR1 degradation by the proteasome; allowing the GA signaling pathway. {ECO:0000269|PubMed:16193045}.
P2C50_ORYSJ,Protein phosphatase 2C 50 (OsPP2C50) (EC 3.1.3.16) (ABI1-like protein 3) (OsABI-LIKE3) (OsABIL3),FUNCTION: Protein phosphatase involved in abscisic acid (ABA) signaling. Together with PYL3 and SAPK10; may form an ABA signaling module involved in stress response. {ECO:0000269|PubMed:28827170}.
OHP2_ORYSJ,Histidine-containing phosphotransfer protein 2 (OsAHP2) (OsHP1) (OsHpt3),FUNCTION: Functions as a two-component phosphorelay mediators between cytokinin sensor histidine kinases and response regulators (B-type ARRs). Plays an important role in propagating cytokinin signal transduction through the multistep His-to-Asp phosphorelay (By similarity). Functions as a positive regulator of the cytokinin signaling pathway. May play a regulatory role in salt and drought tolerance during plant development (PubMed:24578505). {ECO:0000250|UniProtKB:Q8L9T7; ECO:0000269|PubMed:24578505}.
GAP1_ORYSJ,GTPase activating protein 1 (OsGAP1) (G-protein binding protein 1) (OsGPBP1),FUNCTION: Mediates the transient calcium-dependent interaction of PYR/PYL/RCAR abscisic acid (ABA) receptors with the plasma membrane and thus regulates ABA sensitivity (By similarity). Stimulates the GTPase/ATPase activities of YCHF1; and regulates its subcellular localization (PubMed:19086295; PubMed:20876569; PubMed:23550829). Binds phospholipids in a Ca(2+)-independent manner (PubMed:20876569). Promotes tolerance towards salinity stress by limiting the accumulation of reactive oxygen species (ROS) (PubMed:19086295; PubMed:23550829). Promotes resistance to bacterial pathogens; such as Xanthomonas oryzae pv. oryzae and Pseudomonas syringae pv. tomato strain DC3000 (PubMed:19086295). Binding to YCHF1 is required for its role in stimulating defense responses and the ability to alleviate salt stress (PubMed:26286751). {ECO:0000250|UniProtKB:Q9LVH4; ECO:0000269|PubMed:19086295; ECO:0000269|PubMed:20876569; ECO:0000269|PubMed:23550829; ECO:0000269|PubMed:26286751}.
PHR2_ORYSJ,Protein PHOSPHATE STARVATION RESPONSE 2 (OsPHR2),FUNCTION: Transcription factor involved in phosphate starvation signaling (PubMed:18263782; PubMed:26082401). Binds to P1BS; an imperfect palindromic sequence 5'-GNATATNC-3'; to promote the expression of inorganic phosphate (Pi) starvation-responsive genes (PubMed:25657119; PubMed:26082401). Functionally redundant with PHR1 and PHR3 in regulating Pi starvation response and Pi homeostasis (PubMed:26082401). Involved in both systematic and local Pi-signaling pathways (PubMed:19704822). Regulates several Pi transporters (PubMed:18263782). Regulates the expression of PT2 (PubMed:20149131). Directly up-regulates SPX1 and SPX2 expression; but PHR2 binding to DNA is repressed redundantly by SPX1 and SPX2 in a PI-dependent manner (PubMed:25271318). The DNA-binding activity is also repressed by SPX4 (PubMed:24692424). Involved in root growth under Pi deprivation (PubMed:18263782). Involved in the modulation of Pi response and homeostasis together with RLI1; promotes RLI1 expression in response to nitrate availability; thus triggering the nitrate-induced phosphate response (NIPR) (PubMed:33316467; PubMed:35640569). {ECO:0000269|PubMed:18263782; ECO:0000269|PubMed:19704822; ECO:0000269|PubMed:20149131; ECO:0000269|PubMed:24692424; ECO:0000269|PubMed:25271318; ECO:0000269|PubMed:25657119; ECO:0000269|PubMed:26082401; ECO:0000269|PubMed:33316467; ECO:0000269|PubMed:35640569}.
OLA1_ORYSJ,Obg-like ATPase 1 (EC 3.6.5.-) (Ribosome-binding ATPase YchF) (OsYchF1),FUNCTION: Hydrolyzes ATP; and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP (Potential). Exhibits GTPase activity (PubMed:19086295). Exhibits similar binding affinities and hydrolytic activities toward both GTP and ATP (PubMed:20876569; PubMed:26912459). Binds to the 26 S ribosomal RNA in vitro; but not to the 5.8 S or 18 S rRNA (PubMed:20876569). Confers sensitivity to salinity stress by suppressing the anti-oxidation enzymatic activities and increasing lipid peroxidation thus leading to the accumulation of reactive oxygen species (ROS) (PubMed:23550829). {ECO:0000255|HAMAP-Rule:MF_03167; ECO:0000269|PubMed:19086295; ECO:0000269|PubMed:20876569; ECO:0000269|PubMed:23550829; ECO:0000269|PubMed:26912459}.
TDC1_ORYSJ,Tryptophan decarboxylase 1 (EC 4.1.1.28) (5-hydroxytryptophan decarboxylase TDC1),FUNCTION: Involved in serotonin biosynthesis (PubMed:17763868; PubMed:19439571; PubMed:32595985). Catalyzes the decarboxylation of L-tryptophan to produce tryptamine; which is converted to serotonin by tryptamine 5-hydroxylase (PubMed:17763868; PubMed:32595985). May play a major role in serotonin biosynthesis during senescence (PubMed:19439571). Accumulation of serotonin attenuates leaf senescence (PubMed:19439571). Catalyzes the decarboxylation of 5-hydroxy-L-tryptophan to produce serotonin (PubMed:32595985). {ECO:0000269|PubMed:17763868; ECO:0000269|PubMed:19439571; ECO:0000269|PubMed:32595985}.
NAC2_ORYSJ,NAC domain-containing protein 2 (ONAC002) (OsNAC19) (Protein STRESS-RESPONSIVE NAC 1),FUNCTION: Transcription factor that possesses transactivation activity (PubMed:16924117; PubMed:20632034). Transcription activator involved in response to abiotic stresses. Plays a positive role during dehydration and salt stress. Binds specifically to the 5'-CATGTG-3' motif found in promoters of stress-responsive genes (PubMed:16924117). {ECO:0000269|PubMed:16924117; ECO:0000269|PubMed:20632034}.
BGL07_ORYSJ,Beta-glucosidase 7 (Os3bglu7) (EC 3.2.1.21),FUNCTION: Hydrolyzes p-nitrophenyl beta-D-glucoside; p-nitrophenyl beta-D-mannoside; p-nitrophenyl beta-D-galactoside; p-nitrophenyl beta-D-xyloside; p-nitrophenyl beta-D-fucoside; p-nitrophenyl beta-L-arabinoside; oligosaccharides; pyridoxine beta-D-glucoside and the cyanogenic glucosides amygdalin; prunasin and dhurrin. Possesses pyridoxine transglucosylation activity. {ECO:0000269|PubMed:14692878; ECO:0000269|PubMed:18308333; ECO:0000269|PubMed:19766588}.
CHI2_ORYSJ,Chitinase 2 (EC 3.2.1.14) (Class I chitinase b) (OsChia1b) (Pathogenesis related (PR)-3 chitinase 2),FUNCTION: Hydrolyzes chitin and plays a role in defense against fungal pathogens containing chitin. Its overexpression confers enhanced resistance to sheath blight pathogen (R.solani). {ECO:0000269|PubMed:11166426; ECO:0000269|PubMed:18211919; ECO:0000269|PubMed:18323646}.
BGL12_ORYSJ,Beta-glucosidase 12 (Os4bglu12) (EC 3.2.1.21),FUNCTION: Hydrolyzes p-nitrophenyl beta-D-glucoside; p-nitrophenyl beta-D-galactoside; p-nitrophenyl beta-D-xyloside; p-nitrophenyl beta-D-fucoside; p-nitrophenyl beta-L-arabinoside; cello-oligosaccharides and laminaribiose. {ECO:0000269|PubMed:17196101}.
BGL18_ORYSJ,Beta-glucosidase 18 (Os4bglu18) (EC 3.2.1.21),FUNCTION: Hydrolyzes glycosides and monolignol glucosides (PubMed:25219312). Can hydrolyze para-nitrophenyl beta-D-glucopyranoside (pNPGlc) in vitro (PubMed:23811195; PubMed:25219312). Hydrolyzes para-nitrophenyl beta-D-fucopyranoside; para-nitrophenyl beta-D-galactopyranoside and para-nitrophenyl beta-D-xylopyranoside in vitro (PubMed:25219312). Hydrolyzes the monolignol glucosides coniferin and syringin with high catalytic efficiencies (PubMed:25219312). {ECO:0000269|PubMed:23811195; ECO:0000269|PubMed:25219312}.
UGT79_ORYSJ,UDP-glycosyltransferase 79 (OsUGT79) (EC 2.4.1.-) (Deoxynivalenol-UDP-glucosyltransferase),FUNCTION: Involved in the detoxification of the Fusarium mycotoxin deoxynivalenol by the transfer of glucose from UDP-D-glucose to the hydroxyl group at C-3; forming deoxynivalenol-3-O-beta-D-glucoside. {ECO:0000269|PubMed:26197338; ECO:0000269|PubMed:27715009}.
