peak_start,peak_end,peak_ID,path_to_cdf_csv,area,peak_number_within_sample,rt_offset,peak_start_rt_offset,peak_end_rt_offset,PCB_number,Bioprospector,State,Plant_Common_Name,October_11th_15th,Composition,Genus,Species,Organ,Date,GC_sample_present,GC_success,Injection_volume_uL,Notes,Rerun,...16,percent_area
1923.613,1934.317,26-cerotic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_104/PCB_104.CDF.csv,5264544.303,3,0,1923.613,1934.317,PCB_104,Alexis Salmon,MN,Wheel cactus,,...,Opumtiana,Robusta,leaf,2020-10-08 00:00:00,,GOOD,1,,,,7.052974687
2162.163,2182.043,28-montanic acid ,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_104/PCB_104.CDF.csv,29266660.46,4,0,2162.163,2182.043,PCB_104,Alexis Salmon,MN,Wheel cactus,,...,Opumtiana,Robusta,leaf,2020-10-08 00:00:00,,GOOD,1,,,,39.20890461
2388.99,2422.122,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_104/PCB_104.CDF.csv,21795819.72,5,0,2388.99,2422.122,PCB_104,Alexis Salmon,MN,Wheel cactus,,...,Opumtiana,Robusta,leaf,2020-10-08 00:00:00,,GOOD,1,,,,29.20012747
2609.191,2628.561,32-lacceroic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_104/PCB_104.CDF.csv,8466694.256,6,0,2609.191,2628.561,PCB_104,Alexis Salmon,MN,Wheel cactus,,...,Opumtiana,Robusta,leaf,2020-10-08 00:00:00,,GOOD,1,,,,11.34293432
2400.196,2418.036,beta-amyrin acetate,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_105/PCB_105.CDF.csv,638819674.2,1,0,2400.196,2418.036,PCB_105,Alexis Salmon,MN,AS_succulent 2,,...,Unknown,Unknown,leaf,2020-10-08 00:00:00,,GOOD,1,,,,89.22873385
2420.075,2424.153,germanicol acetate,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_105/PCB_105.CDF.csv,77115256.9,2,0,2420.075,2424.153,PCB_105,Alexis Salmon,MN,AS_succulent 2,,...,Unknown,Unknown,leaf,2020-10-08 00:00:00,,GOOD,1,,,,10.77126615
937.063,951.845,plastic contaminant ,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_106/PCB_106.CDF.csv,1765229.815,1,0,937.063,951.845,PCB_106,Ande Myers,MI,White spruce,,...,Picea,glauca,needle,2020-10-16 00:00:00,,GOOD,2,get,,,9.967835054
1121.073,1130.758,plastic contaminant ,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_106/PCB_106.CDF.csv,1562345.047,2,0,1121.073,1130.758,PCB_106,Ande Myers,MI,White spruce,,...,Picea,glauca,needle,2020-10-16 00:00:00,,GOOD,2,get,,,8.82219278
1307.632,1322.414,plastic contaminant ,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_106/PCB_106.CDF.csv,1517159.67,3,0,1307.632,1322.414,PCB_106,Ande Myers,MI,White spruce,,...,Picea,glauca,needle,2020-10-16 00:00:00,,GOOD,2,get,,,8.567041647
1496.739,1513.56,plastic contaminant ,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_106/PCB_106.CDF.csv,1414139.237,4,0,1496.739,1513.56,PCB_106,Ande Myers,MI,White spruce,,...,Picea,glauca,needle,2020-10-16 00:00:00,,GOOD,2,get,,,7.985309641
1680.75,1695.532,plastic contaminant ,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_106/PCB_106.CDF.csv,1187466.347,5,0,1680.75,1695.532,PCB_106,Ande Myers,MI,White spruce,,...,Picea,glauca,needle,2020-10-16 00:00:00,,GOOD,2,get,,,6.705341468
1949.374,1966.705,29-nonacosan-10-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_106/PCB_106.CDF.csv,10262919.77,6,0,1949.374,1966.705,PCB_106,Ande Myers,MI,White spruce,,...,Picea,glauca,needle,2020-10-16 00:00:00,,GOOD,2,get,,,57.95227941
2348.711,2359.925,lupeol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_109/PCB_109.CDF.csv,281541342.1,1,0,2348.711,2359.925,PCB_109,Anne Sterner,MN,Caster oil bean,,...,Ricinus,communis,,2020-10-16 00:00:00,,GOOD,1,,,,63.39956251
2399.683,2404.78,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_109/PCB_109.CDF.csv,67079734.75,2,0,2399.683,2404.78,PCB_109,Anne Sterner,MN,Caster oil bean,,...,Ricinus,communis,,2020-10-16 00:00:00,,GOOD,1,,,,15.10551099
2427.718,2447.087,unknown,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_109/PCB_109.CDF.csv,29298940,3,0,2427.718,2447.087,PCB_109,Anne Sterner,MN,Caster oil bean,,...,Ricinus,communis,,2020-10-16 00:00:00,,GOOD,1,,,,6.597752089
2524.056,2534.76,unknown,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_109/PCB_109.CDF.csv,66154564.96,4,0,2524.056,2534.76,PCB_109,Anne Sterner,MN,Caster oil bean,,...,Ricinus,communis,,2020-10-16 00:00:00,,GOOD,1,,,,14.89717441
2599.545,2624.711,33-tritriacontane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_11/PCB_11.CDF.csv,28436239.99,1,0,2599.545,2624.711,PCB_11,Lucas Busta,NE,Kalanchoe,x,glutinol_(100%),Kalanchoe,marginata,leaf,2019-07-21 00:00:00,1,good,,,,,8.745842204
2693.163,2710.275,glutinol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_11/PCB_11.CDF.csv,240973129.4,2,0,2693.163,2710.275,PCB_11,Lucas Busta,NE,Kalanchoe,x,glutinol_(100%),Kalanchoe,marginata,leaf,2019-07-21 00:00:00,1,good,,,,,74.11362984
2827.548,2842.145,friedelin,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_11/PCB_11.CDF.csv,55730729.54,3,0,2827.548,2842.145,PCB_11,Lucas Busta,NE,Kalanchoe,x,glutinol_(100%),Kalanchoe,marginata,leaf,2019-07-21 00:00:00,1,good,,,,,17.14052795
1804.337,1826.256,26-hexacosan-1-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_110/PCB_110.CDF.csv,12339646.36,1,0,1804.337,1826.256,PCB_110,Anne Sterner,MN,Measow Rue,,...,Thalictrum,rochebrunianum,,2020-10-16 00:00:00,,GOOD,1,,,,2.995556722
1982.231,2004.149,diketone?,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_110/PCB_110.CDF.csv,349154524.1,2,0,1982.231,2004.149,PCB_110,Anne Sterner,MN,Measow Rue,,...,Thalictrum,rochebrunianum,,2020-10-16 00:00:00,,GOOD,1,,,,84.7603044
2057.16,2066.336,28-octacosan-1-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_110/PCB_110.CDF.csv,11648186.07,3,0,2057.16,2066.336,PCB_110,Anne Sterner,MN,Measow Rue,,...,Thalictrum,rochebrunianum,,2020-10-16 00:00:00,,GOOD,1,,,,2.827698709
2160.125,2193.257,28-montanic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_110/PCB_110.CDF.csv,15406254.84,4,0,2160.125,2193.257,PCB_110,Anne Sterner,MN,Measow Rue,,...,Thalictrum,rochebrunianum,,2020-10-16 00:00:00,,GOOD,1,,,,3.740002663
2388.481,2410.399,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_110/PCB_110.CDF.csv,23383042.93,5,0,2388.481,2410.399,PCB_110,Anne Sterner,MN,Measow Rue,,...,Thalictrum,rochebrunianum,,2020-10-16 00:00:00,,GOOD,1,,,,5.676437508
1807.384,1826.244,26-hexacosan-1-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_111/PCB_111.CDF.csv,90146843.81,1,0,1807.384,1826.244,PCB_111,Anne Sterner,MN,Summer hyacinth,,...,Galttonia,candicans,,2020-10-16 00:00:00,,GOOD,1,,,,46.97337054
1996.491,2015.351,31-hentriacontane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_111/PCB_111.CDF.csv,101763685,2,0,1996.491,2015.351,PCB_111,Anne Sterner,MN,Summer hyacinth,,...,Galttonia,candicans,,2020-10-16 00:00:00,,GOOD,1,,,,53.02662946
1746.224,1776.807,29-nonacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_115/PCB_115.CDF.csv,593175184.6,1,0,1746.224,1776.807,PCB_115,Anne Sterner,MN,Blue false indigo,,...,Baptistia,australis,,2020-10-16 00:00:00,,GOOD,1,,,,94.87822148
1810.959,1827.27,26-hexacosan-1-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_115/PCB_115.CDF.csv,16548460.1,2,0,1810.959,1827.27,PCB_115,Anne Sterner,MN,Blue false indigo,,...,Baptistia,australis,,2020-10-16 00:00:00,,GOOD,1,,,,2.646922027
2390.515,2409.884,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_115/PCB_115.CDF.csv,15472712.65,3,0,2390.515,2409.884,PCB_115,Anne Sterner,MN,Blue false indigo,,...,Baptistia,australis,,2020-10-16 00:00:00,,GOOD,1,,,,2.474856495
693.14,712,16-palmitic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_116/PCB_116.CDF.csv,4355680.13,1,0,693.14,712,PCB_116,Anne Sterner,MN,Yellow waxbells,,...,Kirengeshoma,Palmata,,2020-10-16 00:00:00,,GOOD,1,,,,6.182393264
1217.136,1233.447,25-pentacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_116/PCB_116.CDF.csv,6059351.184,2,0,1217.136,1233.447,PCB_116,Anne Sterner,MN,Yellow waxbells,,...,Kirengeshoma,Palmata,,2020-10-16 00:00:00,,GOOD,1,,,,8.600560836
1483.212,1496.465,27-heptacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_116/PCB_116.CDF.csv,4780360.881,3,0,1483.212,1496.465,PCB_116,Anne Sterner,MN,Yellow waxbells,,...,Kirengeshoma,Palmata,,2020-10-16 00:00:00,,GOOD,1,,,,6.785179359
1743.681,1762.541,29-nonacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_116/PCB_116.CDF.csv,5511675.437,4,0,1743.681,1762.541,PCB_116,Anne Sterner,MN,Yellow waxbells,,...,Kirengeshoma,Palmata,,2020-10-16 00:00:00,,GOOD,1,,,,7.823197315
1923.104,1945.022,26-cerotic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_116/PCB_116.CDF.csv,23092493.53,5,0,1923.104,1945.022,PCB_116,Anne Sterner,MN,Yellow waxbells,,...,Kirengeshoma,Palmata,,2020-10-16 00:00:00,,GOOD,1,,,,32.77717192
2163.693,2180.004,28-montanic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_116/PCB_116.CDF.csv,17237855.65,6,0,2163.693,2180.004,PCB_116,Anne Sterner,MN,Yellow waxbells,,...,Kirengeshoma,Palmata,,2020-10-16 00:00:00,,GOOD,1,,,,24.46717837
2393.579,2409.89,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_116/PCB_116.CDF.csv,9415560.599,7,0,2393.579,2409.89,PCB_116,Anne Sterner,MN,Yellow waxbells,,...,Kirengeshoma,Palmata,,2020-10-16 00:00:00,,GOOD,1,,,,13.36431893
1480.152,1502.58,27-heptacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_117/PCB_117.CDF.csv,94257436.86,1,0,1480.152,1502.58,PCB_117,Anne Sterner,MN,Redleaf rose,,...,Rosa,Glauca,,2020-10-16 00:00:00,,GOOD,1,,,,31.64334682
1744.189,1766.617,29-nonacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_117/PCB_117.CDF.csv,126476720.2,2,0,1744.189,1766.617,PCB_117,Anne Sterner,MN,Redleaf rose,,...,Rosa,Glauca,,2020-10-16 00:00:00,,GOOD,1,,,,42.45974488
1997.012,2013.833,31-hentriacontane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_117/PCB_117.CDF.csv,21529156.75,3,0,1997.012,2013.833,PCB_117,Anne Sterner,MN,Redleaf rose,,...,Rosa,Glauca,,2020-10-16 00:00:00,,GOOD,1,,,,7.227594942
2201.411,2226.897,31-hentriacontan-9-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_117/PCB_117.CDF.csv,36896833.94,4,0,2201.411,2226.897,PCB_117,Anne Sterner,MN,Redleaf rose,,...,Rosa,Glauca,,2020-10-16 00:00:00,,GOOD,1,,,,12.38670764
2392.048,2411.417,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_117/PCB_117.CDF.csv,18714275.54,5,0,2392.048,2411.417,PCB_117,Anne Sterner,MN,Redleaf rose,,...,Rosa,Glauca,,2020-10-16 00:00:00,,GOOD,1,,,,6.282605715
1971.012,1990.381,29-nonacosan-10-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_118/PCB_118.CDF.csv,276374767.4,1,0,1971.012,1990.381,PCB_118,Anne Sterner,MN,Coral honeysuckle,,...,Lonicera,sempervirens,,2020-10-16 00:00:00,,GOOD,1,,,,96.31904788
2283.982,2292.1375,beta-sitosterol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_118/PCB_118.CDF.csv,5281002.61,2,0,2283.982,2292.1375,PCB_118,Anne Sterner,MN,Coral honeysuckle,,...,Lonicera,sempervirens,,2020-10-16 00:00:00,,GOOD,1,,,,1.840476061
2292.1375,2300.293,30-triacontan-1-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_118/PCB_118.CDF.csv,5281002.61,3,0,2292.1375,2300.293,PCB_118,Anne Sterner,MN,Coral honeysuckle,,...,Lonicera,sempervirens,,2020-10-16 00:00:00,,GOOD,1,,,,1.840476061
1971.006,1987.317,29-nonacosan-10-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_119/PCB_119.CDF.csv,195081773.6,1,0,1971.006,1987.317,PCB_119,Anne Sterner,MN,"Nasturtium ""milkmaid""",,...,Tropaelum,majus,,2020-10-16 00:00:00,,GOOD,1,,,,100
2662.471,2678.074,beta_amyrone,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_12/PCB_12.CDF.csv,391621938.7,1,0,2662.471,2678.074,PCB_12,Lucas Busta,NE,Kalanchoe,x,beta-amyrone_(100%),Kalanchoe,thrysiflora,leaf,2019-07-21 00:00:00,1,good,,,,,100
1745.189,1772.714,29-nonacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_120/PCB_120.CDF.csv,200882920.8,1,0,1745.189,1772.714,PCB_120,Anne Sterner,MN,Candle larkspur,,...,Delphinium,elatum,,2020-10-16 00:00:00,,GOOD,1,,,,67.64862887
1979.152,1995.973,29-nonacosan-11-one,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_120/PCB_120.CDF.csv,67612385.78,2,0,1979.152,1995.973,PCB_120,Anne Sterner,MN,Candle larkspur,,...,Delphinium,elatum,,2020-10-16 00:00:00,,GOOD,1,,,,22.76891024
2382.853,2427.199,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_120/PCB_120.CDF.csv,28455162.57,3,0,2382.853,2427.199,PCB_120,Anne Sterner,MN,Candle larkspur,,...,Delphinium,elatum,,2020-10-16 00:00:00,,GOOD,1,,,,9.58246089
697.204,706.379,16-palmitic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_121/PCB_121.CDF.csv,4845405.47,1,0,697.204,706.379,PCB_121,Alexis Salmon,MN,Jade plan,,...,Crassula,ovata,,2020-11-12 00:00:00,,GOOD,1,,,,6.528990609
905.681,913.837,18-stearic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_121/PCB_121.CDF.csv,3241858.91,2,0,905.681,913.837,PCB_121,Alexis Salmon,MN,Jade plan,,...,Crassula,ovata,,2020-11-12 00:00:00,,GOOD,1,,,,4.368275579
1995.471,2011.782,31-hentriacontane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_121/PCB_121.CDF.csv,24784674.06,3,0,1995.471,2011.782,PCB_121,Alexis Salmon,MN,Jade plan,,...,Crassula,ovata,,2020-11-12 00:00:00,,GOOD,1,,,,33.39635974
2286.523,2300.286,30-triacontan-1-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_121/PCB_121.CDF.csv,5014806.937,4,0,2286.523,2300.286,PCB_121,Alexis Salmon,MN,Jade plan,,...,Crassula,ovata,,2020-11-12 00:00:00,,GOOD,1,,,,6.75725233
2395.604,2404.269,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_121/PCB_121.CDF.csv,8717050.519,5,0,2395.604,2404.269,PCB_121,Alexis Salmon,MN,Jade plan,,...,Crassula,ovata,,2020-11-12 00:00:00,,GOOD,1,,,,11.74587789
2406.308,2414.974,32-dotriacontanal,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_121/PCB_121.CDF.csv,4911685.387,6,0,2406.308,2414.974,PCB_121,Alexis Salmon,MN,Jade plan,,...,Crassula,ovata,,2020-11-12 00:00:00,,GOOD,1,,,,6.618300154
2505.704,2522.016,32-dotriacontan-1-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_121/PCB_121.CDF.csv,7329676.961,7,0,2505.704,2522.016,PCB_121,Alexis Salmon,MN,Jade plan,,...,Crassula,ovata,,2020-11-12 00:00:00,,GOOD,1,,,,9.876447357
2613.766,2622.431,32-lacceroic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_121/PCB_121.CDF.csv,15368541.24,8,0,2613.766,2622.431,PCB_121,Alexis Salmon,MN,Jade plan,,...,Crassula,ovata,,2020-11-12 00:00:00,,GOOD,1,,,,20.70849634
2232.484,2243.188,33-tritriacontane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_122/PCB_122.CDF.csv,10969501.31,1,0,2232.484,2243.188,PCB_122,Alexis Salmon,MN,Chandelier (mother of millions),,...,Kalanchoe,delagoensis,,2020-11-12 00:00:00,,GOOD,1,,,,9.759810848
2317.098,2328.822,glutinol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_122/PCB_122.CDF.csv,82533663.86,2,0,2317.098,2328.822,PCB_122,Alexis Salmon,MN,Chandelier (mother of millions),,...,Kalanchoe,delagoensis,,2020-11-12 00:00:00,,GOOD,1,,,,73.4320481
2476.132,2487.856,friedelin,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_122/PCB_122.CDF.csv,18891444.53,3,0,2476.132,2487.856,PCB_122,Alexis Salmon,MN,Chandelier (mother of millions),,...,Kalanchoe,delagoensis,,2020-11-12 00:00:00,,GOOD,1,,,,16.80814105
1990.898,2013.326,31-hentriacontane ,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_124/PCB_124.CDF.csv,86081907.82,1,0,1990.898,2013.326,PCB_124,Alexis Salmon,MN,krantz aloe,,,Aloe,arborescens,,2020-11-12 00:00:00,,GOOD,1,,,,94.62193267
2228.43,2245.25,33-tritriacontane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_124/PCB_124.CDF.csv,4892674.28,2,0,2228.43,2245.25,PCB_124,Alexis Salmon,MN,krantz aloe,,,Aloe,arborescens,,2020-11-12 00:00:00,,GOOD,1,,,,5.378067332
693.135,711.995,16-palmitic acid ,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_130/PCB_130.CDF.csv,1627555.532,1,0,693.135,711.995,PCB_130,Yasmin,MO,Plum,,,Prunus,domestica,,,,GOOD,1,,,,3.270531209
1738.069,1765.594,29-nonacosane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_130/PCB_130.CDF.csv,10553192.58,2,0,1738.069,1765.594,PCB_130,Yasmin,MO,Plum,,,Prunus,domestica,,,,GOOD,1,,,,21.20637054
1961.838,1986.814,29-nonacosan-10-ol,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_130/PCB_130.CDF.csv,37583508.14,3,0,1961.838,1986.814,PCB_130,Yasmin,MO,Plum,,,Prunus,domestica,,,,GOOD,1,,,,75.52309825
700.274,706.39,16-palmitic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_132/PCB_132.CDF.csv,2199962.708,1,0,700.274,706.39,PCB_132,Yasmin,MO,Blueberry,,,Vaccinium,corymbosum,,,,GOOD,1,,,,11.5486034
906.202,914.867,18-stearic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_132/PCB_132.CDF.csv,1737166.5,2,0,906.202,914.867,PCB_132,Yasmin,MO,Blueberry,,,Vaccinium,corymbosum,,,,GOOD,1,,,,9.11917592
1545.396,1553.551,3076_di(2-ethyl hexyl)isophthalate,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_132/PCB_132.CDF.csv,1974120.496,3,0,1545.396,1553.551,PCB_132,Yasmin,MO,Blueberry,,,Vaccinium,corymbosum,,,,GOOD,1,,,,10.36305506
2394.086,2410.907,30-melissic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_132/PCB_132.CDF.csv,13138349.9,4,0,2394.086,2410.907,PCB_132,Yasmin,MO,Blueberry,,,Vaccinium,corymbosum,,,,GOOD,1,,,,68.96916562
695.681,711.992,16-palmitic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_138/PCB_138.CDF.csv,13488454.25,1,0,695.681,711.992,PCB_138,Isabelle Allen,MO,Aloe Vera,,...,Aloe,vera,,,,GOOD,1,,,,5.043255292
904.667,915.372,18-stearic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_138/PCB_138.CDF.csv,8531549.509,2,0,904.667,915.372,PCB_138,Isabelle Allen,MO,Aloe Vera,,...,Aloe,vera,,,,GOOD,1,,,,3.189897183
1996.496,2020.962,31-hentriacontane,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_138/PCB_138.CDF.csv,245435309.7,3,0,1996.496,2020.962,PCB_138,Isabelle Allen,MO,Aloe Vera,,...,Aloe,vera,,,,GOOD,1,,,,91.76684753
549.385,554.992,disaccharide 1,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_139/PCB_139.CDF.csv,1686817.946,1,0,549.385,554.992,PCB_139,Isabelle Allen,MO,Purple passion,,...,Gynura,aurantiaca,,,,GOOD,1,,,,4.428339986
597.808,603.925,disaccharide 2,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_139/PCB_139.CDF.csv,2219016.626,2,0,597.808,603.925,PCB_139,Isabelle Allen,MO,Purple passion,,...,Gynura,aurantiaca,,,,GOOD,1,,,,5.825501251
662.543,673.248,disaccharide 3,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_139/PCB_139.CDF.csv,2921444.126,3,0,662.543,673.248,PCB_139,Isabelle Allen,MO,Purple passion,,...,Gynura,aurantiaca,,,,GOOD,1,,,,7.669557863
699.243,706.889,16-palmitic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_139/PCB_139.CDF.csv,2727207.441,4,0,699.243,706.889,PCB_139,Isabelle Allen,MO,Purple passion,,...,Gynura,aurantiaca,,,,GOOD,1,,,,7.159635567
890.9,900.584,contaminant,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_139/PCB_139.CDF.csv,3733190.383,5,0,890.9,900.584,PCB_139,Isabelle Allen,MO,Purple passion,,...,Gynura,aurantiaca,,,,GOOD,1,,,,9.800604913
907.721,914.347,18-stearic acid,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_139/PCB_139.CDF.csv,2100793.571,6,0,907.721,914.347,PCB_139,Isabelle Allen,MO,Purple passion,,...,Gynura,aurantiaca,,,,GOOD,1,,,,5.515134692
1499,1512.763,sucrose,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_139/PCB_139.CDF.csv,10476597.77,7,0,1499,1512.763,PCB_139,Isabelle Allen,MO,Purple passion,,...,Gynura,aurantiaca,,,,GOOD,1,,,,27.5038198
1538.759,1560.677,3076_di(2-ethyl hexyl)isophthalate,/Volumes/Busta_Lab_2/chemical_blooms/data/PCB_139/PCB_139.CDF.csv,12226360.33,8,0,1538.759,1560.677,PCB_139,Isabelle Allen,MO,Purple passion,,...,Gynura,aurantiaca,,,,GOOD,1,,,,32.09740593
