lake,park,water_temp,pH,element,mg_per_L,element_type
Lake_Narvakrak,NOAT,18.3,7.31,Mg,1.84,free
Okoklik_Lake,NOAT,6.46,6.87,C,7.8,bound
Okoklik_Lake,NOAT,6.46,6.87,N,0,bound
Okoklik_Lake,NOAT,6.46,6.87,P,0,bound
Okoklik_Lake,NOAT,6.46,6.87,Cl,0.76,free
Okoklik_Lake,NOAT,6.46,6.87,S,1.01,free
Okoklik_Lake,NOAT,6.46,6.87,F,0.02,free
Okoklik_Lake,NOAT,6.46,6.87,Br,0.01,free
Okoklik_Lake,NOAT,6.46,6.87,Na,1.97,free
Okoklik_Lake,NOAT,6.46,6.87,K,0.48,free
Okoklik_Lake,NOAT,6.46,6.87,Ca,8.74,free
Okoklik_Lake,NOAT,6.46,6.87,Mg,2.57,free
